"stop_id","stop_name","stop_desc","stop_lon","stop_lat"
"90712","Wister","Not Shady Housing Help within a mile, Neighborhood Advisory Committee within a mileEnergy Bill Help within a mile",-75.1611111,40.0361111
"90713","Germantown","Not Shady Housing Help within half a mile, Neighborhood Advisory Committee within half a mileEnergy Bill Help within half a mile",-75.1716667,40.0375
"90813","Cheltenham","Not Shady   ",-75.0927778,40.0580556
"90417","Warminster","Not Shady   ",-75.0891667,40.1952778
"90310","Gladstone","Not Shady   ",-75.2822222,39.9327778
"90227","Main Street","Not Shady   ",-75.3486111,40.1172222
"90205","Marcus Hook","Not Shady   ",-75.4194444,39.8216667
"90214","Folcroft","Not Shady   ",-75.2797222,39.9005556
"90534","Link Belt","Not Shady   ",-75.2466667,40.2738889
"90305","Swarthmore","Not Shady   ",-75.3508333,39.9022222
"90405","Eastwick","Not Shady   ",-75.2438889,39.8927778
"90303","Moylan-Rose Valley","Not Shady   ",-75.3886111,39.9061111
"90507","Daylesford","Not Shady   ",-75.4605556,40.0430556
"90323","Neshaminy","Not Shady   ",-74.9616667,40.1469444
"90008","North Broad","Not Shady Housing Help within a mile, Neighborhood Advisory Committee within a mileEnergy Bill Help within a mile",-75.1538889,39.9922222
"90407","Fern Rock T C","Not Shady   ",-75.1347222,40.0405556
"90412","Ardsley","Not Shady   ",-75.1530556,40.1141667
"90712","Wister","Not Shady   ",-75.1611111,40.0361111
"90537","Delaware Valley College","Not Shady   ",-75.1616667,40.2972222
"90001","Cynwyd","Not Shady   ",-75.2316667,40.0066667
"90404","Airport Terminal A","Not Shady   ",-75.2452778,39.8761111
"90533","Colmar","Not Shady   ",-75.2544444,40.2683333
"90509","Devon","Not Shady   ",-75.4227778,40.0472222
"90227","Main Street","Not Shady   ",-75.3486111,40.1172222
"90538","Doylestown","Not Shady   ",-75.1302778,40.3063889
"90809","Queen Lane","Not Shady Housing Help within a mile, Neighborhood Advisory Committee within a mileEnergy Bill Help within a mile",-75.1780556,40.0233333
"90708","Holmesburg Jct","Not Shady   ",-75.0236111,40.0327778
"90009","Wayne Junction","Not Shady , Neighborhood Advisory Committee within half a mileEnergy Bill Help  within half a mile",-75.16,40.0222222
"90807","Tulpehocken","Not Shady Housing Help within a mile, Neighborhood Advisory Committee within a mileEnergy Bill Help within a mile",-75.1869444,40.0352778
"90324","Langhorne","Not Shady   ",-74.9125,40.1608333
"90525","Fort Washington","Not Shady   ",-75.2122222,40.1358333
"90720","Chestnut Hill East","Kind of Shady   ",-75.2072222,40.0811111
