the_geom,cartodb_id,id,geographic_area_name,total
,159,1500000US421010040024,"Block Group 4, Census Tract 40.02, Philadelphia County, Pennsylvania",1041
,160,1500000US421010041011,"Block Group 1, Census Tract 41.01, Philadelphia County, Pennsylvania",1304
,161,1500000US421010041012,"Block Group 2, Census Tract 41.01, Philadelphia County, Pennsylvania",1495
,162,1500000US421010041013,"Block Group 3, Census Tract 41.01, Philadelphia County, Pennsylvania",1791
,163,1500000US421010041014,"Block Group 4, Census Tract 41.01, Philadelphia County, Pennsylvania",1653
,164,1500000US421010041021,"Block Group 1, Census Tract 41.02, Philadelphia County, Pennsylvania",2183
,165,1500000US421010041022,"Block Group 2, Census Tract 41.02, Philadelphia County, Pennsylvania",2790
,166,1500000US421010041023,"Block Group 3, Census Tract 41.02, Philadelphia County, Pennsylvania",1295
,167,1500000US421010041024,"Block Group 4, Census Tract 41.02, Philadelphia County, Pennsylvania",1580
,168,1500000US421010042011,"Block Group 1, Census Tract 42.01, Philadelphia County, Pennsylvania",717
,169,1500000US421010042012,"Block Group 2, Census Tract 42.01, Philadelphia County, Pennsylvania",1949
,170,1500000US421010042013,"Block Group 3, Census Tract 42.01, Philadelphia County, Pennsylvania",776
,171,1500000US421010042014,"Block Group 4, Census Tract 42.01, Philadelphia County, Pennsylvania",1663
,172,1500000US421010042021,"Block Group 1, Census Tract 42.02, Philadelphia County, Pennsylvania",1366
,173,1500000US421010042022,"Block Group 2, Census Tract 42.02, Philadelphia County, Pennsylvania",1404
,174,1500000US421010042023,"Block Group 3, Census Tract 42.02, Philadelphia County, Pennsylvania",1279
,175,1500000US421010042024,"Block Group 4, Census Tract 42.02, Philadelphia County, Pennsylvania",876
,176,1500000US421010050001,"Block Group 1, Census Tract 50, Philadelphia County, Pennsylvania",13
,177,1500000US421010054001,"Block Group 1, Census Tract 54, Philadelphia County, Pennsylvania",1314
,178,1500000US421010055001,"Block Group 1, Census Tract 55, Philadelphia County, Pennsylvania",2009
,179,1500000US421010055002,"Block Group 2, Census Tract 55, Philadelphia County, Pennsylvania",936
,180,1500000US421010055003,"Block Group 3, Census Tract 55, Philadelphia County, Pennsylvania",2690
,181,1500000US421010056001,"Block Group 1, Census Tract 56, Philadelphia County, Pennsylvania",1111
,182,1500000US421010060001,"Block Group 1, Census Tract 60, Philadelphia County, Pennsylvania",2236
,183,1500000US421010060002,"Block Group 2, Census Tract 60, Philadelphia County, Pennsylvania",1268
,184,1500000US421010060003,"Block Group 3, Census Tract 60, Philadelphia County, Pennsylvania",797
,185,1500000US421010060004,"Block Group 4, Census Tract 60, Philadelphia County, Pennsylvania",1383
,186,1500000US421010060005,"Block Group 5, Census Tract 60, Philadelphia County, Pennsylvania",766
,187,1500000US421010061001,"Block Group 1, Census Tract 61, Philadelphia County, Pennsylvania",2074
,188,1500000US421010061002,"Block Group 2, Census Tract 61, Philadelphia County, Pennsylvania",1049
,189,1500000US421010062001,"Block Group 1, Census Tract 62, Philadelphia County, Pennsylvania",1017
,190,1500000US421010062002,"Block Group 2, Census Tract 62, Philadelphia County, Pennsylvania",1028
,191,1500000US421010062003,"Block Group 3, Census Tract 62, Philadelphia County, Pennsylvania",888
,192,1500000US421010062004,"Block Group 4, Census Tract 62, Philadelphia County, Pennsylvania",1591
,193,1500000US421010063001,"Block Group 1, Census Tract 63, Philadelphia County, Pennsylvania",691
,194,1500000US421010063002,"Block Group 2, Census Tract 63, Philadelphia County, Pennsylvania",972
,195,1500000US421010063003,"Block Group 3, Census Tract 63, Philadelphia County, Pennsylvania",915
,196,1500000US421010063004,"Block Group 4, Census Tract 63, Philadelphia County, Pennsylvania",1658
,197,1500000US421010064001,"Block Group 1, Census Tract 64, Philadelphia County, Pennsylvania",1332
,198,1500000US421010064002,"Block Group 2, Census Tract 64, Philadelphia County, Pennsylvania",1299
,199,1500000US421010064003,"Block Group 3, Census Tract 64, Philadelphia County, Pennsylvania",1841
,200,1500000US421010065001,"Block Group 1, Census Tract 65, Philadelphia County, Pennsylvania",451
